"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significance"
"ENSG00000231556",0,NA,NA,NA,NA,NA,NA
"ENSG00000239648",0,NA,NA,NA,NA,NA,NA
"ENSG00000226624",0,NA,NA,NA,NA,NA,NA
"ENSG00000128590",0.788112267129418,1.09893182893998,2.93848266171066,0.373979347661091,0.70841968134874,1,"Not Significant"
"ENSG00000224729",0,NA,NA,NA,NA,NA,NA
"ENSG00000174697",0,NA,NA,NA,NA,NA,NA
"ENSG00000230520",0,NA,NA,NA,NA,NA,NA
"ENSG00000230682",0,NA,NA,NA,NA,NA,NA
"ENSG00000214415",0,NA,NA,NA,NA,NA,NA
"ENSG00000273489",0,NA,NA,NA,NA,NA,NA
"ENSG00000158321",0.0877891209461148,-2.24270133505169,5.88142572598668,-0.381319333022003,0.702966309753252,1,"Not Significant"
"ENSG00000214660",0,NA,NA,NA,NA,NA,NA
"ENSG00000248315",0,NA,NA,NA,NA,NA,NA
"ENSG00000237896",0,NA,NA,NA,NA,NA,NA
"ENSG00000287186",0,NA,NA,NA,NA,NA,NA
"ENSG00000225572",0.0932623061232126,0.381684511366711,6.05663758794149,0.0630192092270187,0.949751207972014,1,"Not Significant"
"ENSG00000232716",0,NA,NA,NA,NA,NA,NA
"ENSG00000225308",0,NA,NA,NA,NA,NA,NA
"ENSG00000183444",0,NA,NA,NA,NA,NA,NA
"ENSG00000186676",0,NA,NA,NA,NA,NA,NA
"ENSG00000179562",1.47132918121209,3.95418518094386,2.37565035358021,1.66446429079293,0.0960196814592692,1,"Not Significant"
"ENSG00000223770",0,NA,NA,NA,NA,NA,NA
"ENSG00000279078",0.0877891209461148,-2.24270133505169,5.88142572598668,-0.381319333022003,0.702966309753252,1,"Not Significant"
"ENSG00000205174",0,NA,NA,NA,NA,NA,NA
"ENSG00000225358",0,NA,NA,NA,NA,NA,NA
"ENSG00000234387",0,NA,NA,NA,NA,NA,NA
"ENSG00000231202",0,NA,NA,NA,NA,NA,NA
"ENSG00000213483",0,NA,NA,NA,NA,NA,NA
"ENSG00000106013",0,NA,NA,NA,NA,NA,NA
"ENSG00000091128",0,NA,NA,NA,NA,NA,NA
"ENSG00000240677",0,NA,NA,NA,NA,NA,NA
